Person,Surname,Given,Call,Suffix,Prefix,Title,Gender,Birth date,Birth place,Birth source,Baptism date,Baptism place,Baptism source,Death date,Death place,Death source,Burial date,Burial place,Burial source,Note
[I0584],2C1+2C1pE5,Aine-Brid,,,,,female,,,,,,,,,,,,,
[I0394],2C1+2C1pE5,Diarmuid,,,,,male,,,,,,,,,,,,,
[I0595],2C1+2C1pE6,Nollaig,,,,,male,,,,,,,,,,,,,
[I0596],2C1+2C1pE6,Oscar,,,,,male,,,,,,,,,,,,,
[I0401],2C1+2C1plN6,Alsun,,,,,female,,,,,,,,,,,,,
[I0400],2C1+2C1plN6,Tomas,,,,,male,,,,,,,,,,,,,
[I0371],2C1+3C1r1S5,Cloda,,,,,female,,,,,,,,,,,,,
[I0111],2C1+3C2r1S4,Meabh,,,,,female,,,,,,,,,,,,,
[I0112],2C1+3C2r1S4,Niall Glic,,,,,male,,,,,,,,,,,,,
[I0461],2C1+3C2r1S5,Oisin,,,,,male,,,,,,,,,,,,,
[I0136],2C1+3CNN3,Ide,,,,,female,,,,,,,,,,,,,
[I0592],2C1+4C1mE6,Aine-Roisin,,,,,female,,,,,,,,,,,,,
[I0303],2C1+4C2E6,Brid,,,,,female,,,,,,,,,,,,,
[I0348],2C1+5C1plE6,Gobnait,,,,,female,,,,,,,,,,,,,
[I0298],2C1+5C2r1S6,Caitriona,,,,,female,,,,,,,,,,,,,
[I0299],2C1+5C2r1S6,Grainne,,,,,female,,,,,,,,,,,,,
[I0297],2C1+5C2r1S6,Sibeal,,,,,female,,,,,,,,,,,,,
[I0241],2C1+6C1xN\2C2r1E6,Nuala,,,,,female,,,,,,,,,,,,,
[I0002],2C1-****1,Niall,,,,,male,,,,,,,,,,,,,
[I0007],2C1-****2,Colm,,,,,male,,,,,,,,,,,,,
[I0421],2C1-****2,Niall-Trom,,,,,male,,,,,,,,,,,,,
[I0422],2C1-****3,Colm-Beag,,,,,male,,,,,,,,,,,,,
[I0087],2C1-****3,Sean,,,,,male,,,,,,,,,,,,,
[I0116],2C1-****4,Colm Dubh,,,,,male,,,,,,,,,,,,,
[I0482],2C1-****4,Niall-Brian,,,,,male,,,,,,,,,,,,,
[I0383],2C1-****4,Paid,,,,,male,,,,,,,,,,,,,
[I0001],2C1-00NN1,Nora,,,,,female,,,,,,,,,,,,,
[I0143],2C1-0C3r1,Mairead,,,,,female,,,,,,,,,,,,,
[I0095],2C1-1C2N4,Maire,,,,,female,,,,,,,,,,,,,
[I0242],2C1-1C2dN4,Roisin,,,,,female,,,,,,,,,,,,,
[I0201],2C1-1C2dS4,Eoghan,,,,,male,,,,,,,,,,,,,
[I0220],2C1-1C2dS4,Tadhg,,,,,male,,,,,,,,,,,,,
[I0037],2C1-1CNN3,Treasa,,,,,female,,,,,,,,,,,,,
[I0248],2C1-1CNN4,Eilis,,,,,female,,,,,,,,,,,,,
[I0006],2C1-1CNS2,Brian,,,,,male,,,,,,,,,,,,,
[I0008],2C1-1CNS2,Sile,,,,,female,,,,,,,,,,,,,
[I0114],2C1-2C1N4,Cait,,,,,female,,,,,,,,,,,,,
[I0115],2C1-2C1N4,Ultan,,,,,male,,,,,,,,,,,,,
[I0012],2C1-3CNE3,Peig,,,,,female,,,,,,,,,,,,,
[I0110],2C1-4C1mE3,Donall,,,,,male,,,,,,,,,,,,,
[I0235],2C1-6CNN4,Sorcha,,,,,female,,,,,,,,,,,,,
[I0094],2C1-7CNE4,Eamann,,,,,male,,,,,,,,,,,,,
[I0423],2C10\2C2r1E4,Niall,,,,,male,,,,,,,,,,,,,
[I0431],2C11+2C1pE5,Niall,,,,,male,,,,,,,,,,,,,
[I0433],2C12=14C3r1N6,Niall,,,,,male,,,,,,,,,,,,,
[I0091],2C1=1CRE,Moncha,,,,,female,,,,,,,,,,,,,
[I0092],2C1=1CRE,Paidrigin,,,,,female,,,,,,,,,,,,,
[I0597],2C1=2CNN6,Siobhan-Eilis,,,,,female,,,,,,,,,,,,,
[I0137],2C1=99?2r1N3,Una,,,,,female,,,,,,,,,,,,,
[I0263],2C1N4,Sinead,,,,,female,,,,,,,,,,,,,
[I0398],2C1\2C1plE5,Rionai,,,,,female,,,,,,,,,,,,,
[I0391],2C2+1C1mE5,Nuala,,,,,female,,,,,,,,,,,,,
[I0211],2C2+1C2dE,Maire,,,,,female,,,,,,,,,,,,,
[I0270],2C2+2C1pE4,Sinead,,,,,female,,,,,,,,,,,,,
[I0388],2C2+2C1pE5,Brid,,,,,female,,,,,,,,,,,,,
[I0432],2C2+2C1pE5,Tomas,,,,,male,,,,,,,,,,,,,
[I0436],2C2+2C1pE6,Caitriona,,,,,female,,,,,,,,,,,,,
[I0373],2C2+2C1plS5,Sibeal,,,,,female,,,,,,,,,,,,,
[I0409],2C2+3C1plS5,Donall,,,,,male,,,,,,,,,,,,,
[I0372],2C2+3C1r1S5,Ultan,,,,,male,,,,,,,,,,,,,
[I0594],2C2+3C2S6,Piaras,,,,,male,,,,,,,,,,,,,
[I0392],2C2+3C2r1E5,Sean,,,,,male,,,,,,,,,,,,,
[I0127],2C2+3C3NN5,Aine,,,,,female,,,,,,,,,,,,,
[I0302],2C2+4C1r1E6,Paidrigin,,,,,female,,,,,,,,,,,,,
[I0344],2C2+5C1mE5,Roisin,,,,,female,,,,,,,,,,,,,
[I0261],2C2+5C2S4,Treasa,,,,,female,,,,,,,,,,,,,
[I0262],2C2+5C2S4,Una,,,,,female,,,,,,,,,,,,,
[I0003],2C2-****1,Brendain,,,,,male,,,,,,,,,,,,,
[I0083],2C2-****1,Colm,,,,,male,,,,,,,,,,,,,
[I0011],2C2-****2,Brendain,,,,,male,,,,,,,,,,,,,
[I0090],2C2-****3,Niall,,,,,male,,,,,,,,,,,,,
[I0260],2C2-****3,Tadhg,,,,,male,,,,,,,,,,,,,
[I0386],2C2-2CNN4,Meabh,,,,,female,,,,,,,,,,,,,
[I0259],2C2-3C1r1N3,Eoghan,,,,,male,,,,,,,,,,,,,
[I0096],2C2-4C2dN4,Peig,,,,,female,,,,,,,,,,,,,
[I0013],2C2-9CNN3,Sile-Lorna,,,,,female,,,,,,,,,,,,,
[I0210],2C2\1C2dS,Brian,,,,,male,,,,,,,,,,,,,
[I0223],2C3+1C1dr1N5,Niall,,,,,male,,,,,,,,,,,,,
[I0209],2C3+1C2dS,Aine,,,,,female,,,,,,,,,,,,,
[I0587],2C3+2C1pE5,Meabh,,,,,female,,,,,,,,,,,,,
[I0377],2C3+2C1plS5,Brendain,,,,,male,,,,,,,,,,,,,
[I0293],2C3+2C1r1E6,Treasa,,,,,female,,,,,,,,,,,,,
[I0593],2C3+3C2S6,Sean,,,,,male,,,,,,,,,,,,,
[I0226],2C3+4C1r1E\2C1r1E4,Eoghan,,,,,male,,,,,,,,,,,,,
[I0313],2C3+5C1mS5,Maire,,,,,female,,,,,,,,,,,,,
[I0265],2C3+7CNN4,Brian,,,,,male,,,,,,,,,,,,,
[I0084],2C3-****2,Colm,,,,,male,,,,,,,,,,,,,
[I0583],2C3-****4,Donall,,,,,male,,,,,,,,,,,,,
[I0384],2C3-****4,Tadhg,,,,,male,,,,,,,,,,,,,
[I0429],2C3-14CNN4,Una,,,,,female,,,,,,,,,,,,,
[I0389],2C3-2C1pS5,Roisin,,,,,male,,,,,,,,,,,,,
[I0016],2C3-3CNE3,Sile,,,,,female,,,,,,,,,,,,,
[I0106],2C4+1CRS,Colm,,,,,male,,,,,,,,,,,,,
[I0269],2C4+2C1pE4,Niall,,,,,male,,,,,,,,,,,,,
[I0397],2C4+2C1pS5,Roisin,,,,,female,,,,,,,,,,,,,
[I0375],2C4+2C1plE5,Aine,,,,,female,,,,,,,,,,,,,
[I0376],2C4+2C1plS5,Brian,,,,,male,,,,,,,,,,,,,
[I0374],2C4+2C1plS5,Treasa,,,,,female,,,,,,,,,,,,,
[I0300],2C4+2C1r1E6,Eoghan,,,,,male,,,,,,,,,,,,,
[I0405],2C4+3C1plE5,Tadhg,,,,,male,,,,,,,,,,,,,
[I0462],2C4+3C2r1S5,Maire,,,,,female,,,,,,,,,,,,,
[I0234],2C4-2CNN4,Sile,,,,,female,,,,,,,,,,,,,
[I0406],2C5+1C1r1E5,Aine,,,,,female,,,,,,,,,,,,,
[I0237],2C5+1C1r1E\2C1plE5,Colm,,,,,male,,,,,,,,,,,,,
[I0390],2C5+2C1pS5,Brian,,,,,male,,,,,,,,,,,,,
[I0463],2C5+3C2r1S5,Treasa,,,,,female,,,,,,,,,,,,,
[I0387],2C5+3C3dN5,Eoghan,,,,,male,,,,,,,,,,,,,
[I0283],2C5+4C1mE5,Niall,,,,,male,,,,,,,,,,,,,
[I0470],2C5+4C3dE5,Roisin,,,,,female,,,,,,,,,,,,,
[I0294],2C5\2C1r1E5,Sile,,,,,female,,,,,,,,,,,,,
[I0434],2C6+17CNE6,Aine,,,,,female,,,,,,,,,,,,,
[I0378],2C6+2C1plE6,Colm,,,,,male,,,,,,,,,,,,,
[I0395],2C6+2C1r1E6,Brian,,,,,male,,,,,,,,,,,,,
[I0284],2C6+4C1plE-19CNN5,Niall,,,,,male,,,,,,,,,,,,,
[I0359],2C6+9CNN4,Sile,,,,,female,,,,,,,,,,,,,
[I0396],2C6-2C1pS5,Eoghan,,,,,male,,,,,,,,,,,,,
[I0460],2C7+17C3dN5,Aine,,,,,female,,,,,,,,,,,,,
[I0402],2C7+2C1r1E6,Sile,,,,,female,,,,,,,,,,,,,
[I0312],2C7+5C1mS5,Niall,,,,,male,,,,,,,,,,,,,
[I0385],2C7-****4,Colm,,,,,male,,,,,,,,,,,,,
[I0465],2C7N5,Eoghan,,,,,male,,,,,,,,,,,,,
[I0435],2C8+2C1pE6,Sile,,,,,female,,,,,,,,,,,,,
[I0408],2C8+3C1plS5,Colm,,,,,male,,,,,,,,,,,,,
[I0317],2C8+6C1r1E4,Niall,,,,,male,,,,,,,,,,,,,
[I0481],2C9-****3,Colm,,,,,male,,,,,,,,,,,,,
[I0483],2C9=1C2r1N5,Sile,,,,,female,,,,,,,,,,,,,
[I0857],30G1-30GNN6,Cinnoir,,,,,female,,,,,,,,,,,,,
[I0856],30G1-30GNN6,Colm,,,,,male,,,,,,,,,,,,,
[I0108],30G1-3CNN2,Y,,,,,female,,,,,,,,,,,,,
[I0855],30G1=20CNN7,Brian,,,,,male,,,,,,,,,,,,,
[I0071],3C1+1C2,Ailbhe,,,,,female,,,,,,,,,,,,,
[I0033],3C1+1C3E4,Colm,,,,,male,,,,,,,,,,,,,
[I0032],3C1+1C3E4,Niall,,,,,male,,,,,,,,,,,,,
[I0120],3C1+1C3E5,Treasa,,,,,female,,,,,,,,,,,,,
[I0060],3C1+1C4S5,Brian,,,,,male,,,,,,,,,,,,,
[I0158],3C1+1CN,Lorna,,,,,female,,,,,,,,,,,,,
[I0058],3C1+1CRN5,Brid,,,,,female,,,,,,,,,,,,,
[I0404],3C1+2C1plE6,Aine-Caitlin,,,,,female,,,,,,,,,,,,,
[I0411],3C1+2C1plS6,Sinead,,,,,female,,,,,,,,,,,,,
[I0379],3C1+2C1r1S6,Ciara,,,,,female,,,,,,,,,,,,,
[I0381],3C1+2C2E6,Cormac,,,,,female,,,,,,,,,,,,,
[I0476],3C1+2C2r1S6,Sibeal,,,,,female,,,,,,,,,,,,,
[I0068],3C1+3C1p5,Eoghan Ucht,,,,,male,,,,,,,,,,,,,
[I0063],3C1+3C1pE5,Sorcha,,,,,female,,,,,,,,,,,,,
[I0059],3C1+3C1pN5,Roisin,,,,,female,,,,,,,,,,,,,
[I0122],3C1+3C1pS5,Padraig,,,,,male,,,,,,,,,,,,,
[I0065],3C1+3C1plS5,Maire,,,,,female,,,,,,,,,,,,,
[I0066],3C1+3C1xS5,Colm Mor,,,,,male,,,,,,,,,,,,,
[I0056],3C1+3C1xS5,Sile,,,,,female,,,,,,,,,,,,,
[I0051],3C1+4C2E4,Eoghan,,,,,male,,,,,,,,,,,,,
[I0057],3C1+8CNN5,Una,,,,,female,,,,,,,,,,,,,
[I0125],3C1+9C3E5,Tomas,,,,,male,,,,,,,,,,,,,
[I0049],3C1-****4,Cneasta,,,,,male,,,,,,,,,,,,,
[I0048],3C1-****4,Colm-Donall,,,,,male,,,,,,,,,,,,,
[I0020],3C1-2CNE3,Lorcan,,,,,male,,,,,,,,,,,,,
[I0019],3C1-2CNE3,Sean-Colm,,,,,male,,,,,,,,,,,,,
[I0109],3C1-30GNN2,Art,,,,,male,,,,,,,,,,,,,
[I0064],3C1-3C1pE,Aine,,,,,female,,,,,,,,,,,,,
[I0052],3C1-3C1pE4,Diarmuid,,,,,male,,,,,,,,,,,,,
[I0050],3C1-3C1pE4,Shan-Aine,,,,,female,,,,,,,,,,,,,
[I0416],3C1N,Meabh,,,,,female,,,,,,,,,,,,,
[I0412],3C1\00NN\00NN6,Brian,,,,,male,,,,,,,,,,,,,
[I0420],3C1^1C3E6,Alsun,,,,,female,,,,,,,,,,,,,
[I0415],3C2+10C1xE6,Ciara,,,,,female,,,,,,,,,,,,,
[I0124],3C2+10CNN5,Sile,,,,,female,,,,,,,,,,,,,
[I0072],3C2+1C1mE,Colm,,,,,male,,,,,,,,,,,,,
[I0061],3C2+1C4S5,Niall,,,,,male,,,,,,,,,,,,,
[I0585],3C2+2C2S5,Brid,,,,,female,,,,,,,,,,,,,
[I0403],3C2+2C2r1E6,Maire,,,,,male,,,,,,,,,,,,,
[I0119],3C2+2C2r1S5,Aine,,,,,female,,,,,,,,,,,,,
[I0118],3C2+2C2r1S5,Brian,,,,,male,,,,,,,,,,,,,
[I0128],3C2+3C1pS5,Roisin,,,,,female,,,,,,,,,,,,,
[I0123],3C2+3C1pS5,Una,,,,,female,,,,,,,,,,,,,
[I0055],3C2+3C1plS5,Colm-Donall,,,,,male,,,,,,,,,,,,,
[I0054],3C2+3C4E5,Diarmuid,,,,,male,,,,,,,,,,,,,
[I0472],3C2+4C2r1E6,Alsun,,,,,female,,,,,,,,,,,,,
[I0347],3C2+5C1mS6,Padraig,,,,,male,,,,,,,,,,,,,
[I0062],3C2-3C1pE5,Eoghan,,,,,male,,,,,,,,,,,,,
[I0473],3C3+17C2r1E6,Niall,,,,,male,,,,,,,,,,,,,
[I0586],3C3+2C2S5,Aine,,,,,female,,,,,,,,,,,,,
[I0475],3C3+2C2r1S6,Brian,,,,,male,,,,,,,,,,,,,
[I0121],3C3+2C3NN5,Colm,,,,,male,,,,,,,,,,,,,
[I0393],3C3+2C3dE5,Roisin,,,,,female,,,,,,,,,,,,,
[I0129],3C3+3C1pS5,Brian,,,,,male,,,,,,,,,,,,,
[I0346],3C3+5C1mS6,Sile,,,,,female,,,,,,,,,,,,,
[I0369],3C3+6C2r1E6,Una,,,,,female,,,,,,,,,,,,,
[I0073],3C3+8C1mE,Diarmuid,,,,,male,,,,,,,,,,,,,
[I0419],3C3-****5,Eoghan,,,,,male,,,,,,,,,,,,,
[I0410],3C4+2C1plS6,Una,,,,,female,,,,,,,,,,,,,
[I0380],3C4+2C1r1S6,Colm,,,,,male,,,,,,,,,,,,,
[I0146],3C4+2CN,Diarmuid,,,,,male,,,,,,,,,,,,,
[I0598],3C4-2C1r1N3,Aine,,,,,female,,,,,,,,,,,,,
[I0474],3C5+2C2r1S6,Diarmuid,,,,,male,,,,,,,,,,,,,
[I0607],4C1+1C1r1E5,Roisin,,,,,female,,,,,,,,,,,,,
[I0350],4C1+1C2S6,Neasa,,,,,female,,,,,,,,,,,,,
[I0222],4C1+1C2r1N5,Naos,,,,,male,,,,,,,,,,,,,
[I0212],4C1+1C3dE5,Sile,,,,,female,,,,,,,,,,,,,
[I0103],4C1+1C3dE5,Treasa,,,,,female,,,,,,,,,,,,,
[I0276],4C1+2C1mE5,Fionnula,,,,,female,,,,,,,,,,,,,
[I0278],4C1+2C1plE5,Una,,,,,female,,,,,,,,,,,,,
[I0277],4C1+2C1r1E5,Mairin,,,,,female,,,,,,,,,,,,,
[I0296],4C1+2C1r1E5,Tomas,,,,,male,,,,,,,,,,,,,
[I0053],4C1+3C2E4,Aine,,,,,female,,,,,,,,,,,,,
[I0471],4C1+3C2r1E6,Oscar,,,,,male,,,,,,,,,,,,,
[I0280],4C1+4C1pE5,Caitriona,,,,,female,,,,,,,,,,,,,
[I0286],4C1+4C1pE5,Sean,,,,,male,,,,,,,,,,,,,
[I0645],4C1+4C1r1E5,Cait,,,,,female,,,,,,,,,,,,,
[I0625],4C1+4C1r1E5,Nollaig,,,,,male,,,,,,,,,,,,,
[I0632],4C1+4C1r1E6,Paidrigin,,,,,female,,,,,,,,,,,,,
[I0638],4C1+4C1r1E6,Triona,,,,,female,,,,,,,,,,,,,
[I0358],4C1+5C1r1N6,Alsun,,,,,female,,,,,,,,,,,,,
[I0339],4C1+5C3S5,Cailin,,,,,female,,,,,,,,,,,,,
[I0337],4C1+5C3S5,Padraig,,,,,male,,,,,,,,,,,,,
[I0289],4C1-****4,Brendain,,,,,male,,,,,,,,,,,,,
[I0228],4C1-****4,Brian,,,,,male,,,,,,,,,,,,,
[I0618],4C1-****4,Donall,,,,,male,,,,,,,,,,,,,
[I0628],4C1-****4,Murcha,,,,,male,,,,,,,,,,,,,
[I0619],4C1-****4,Tomas-Sliotar,,,,,male,,,,,,,,,,,,,
[I0608],4C1-****5,Bodach,,,,,male,,,,,,,,,,,,,
[I0622],4C1-****5,Liam,,,,,male,,,,,,,,,,,,,
[I0274],4C1-16CNN4,Noinin,,,,,female,,,,,,,,,,,,,
[I0219],4C1-1C1xN4,Colm,,,,,male,,,,,,,,,,,,,
[I0319],4C1-1CNE4,Sean-Tarbh,,,,,male,,,,,,,,,,,,,
[I0227],4C1-2C2dN4,Niall,,,,,male,,,,,,,,,,,,,
[I0588],4C1=16C3N6,Aine-Roisin,,,,,female,,,,,,,,,,,,,
[I0537],4C1=1C1r1N4,Brendan-Each,,,,,male,,,,,,,,,,,,,
[I0627],4C1\4CNN5,Colm-Talamh,,,,,male,,,,,,,,,,,,,
[I0620],4C1^4C1r1E5,Eamonn,,,,,male,,,,,,,,,,,,,
[I0279],4C2+15C2E5,Brian,,,,,male,,,,,,,,,,,,,
[I0229],4C2+1C1r1E5,Sile,,,,,female,,,,,,,,,,,,,
[I0305],4C2+2C2E6,Naos,,,,,male,,,,,,,,,,,,,
[I0469],4C2+2C3dE5,Tomas,,,,,male,,,,,,,,,,,,,
[I0633],4C2+4C1pE6,Roisin,,,,,female,,,,,,,,,,,,,
[I0621],4C2+4C1r1E5,Brendain,,,,,male,,,,,,,,,,,,,
[I0281],4C2+4C1r1E5,Niall,,,,,male,,,,,,,,,,,,,
[I0634],4C2+4C1r1E6,Cailin,,,,,female,,,,,,,,,,,,,
[I0629],4C2+4C2E5,Una,,,,,female,,,,,,,,,,,,,
[I0338],4C2+5C3S5,Colm,,,,,male,,,,,,,,,,,,,
[I0275],4C2+5CNN5,Aine,,,,,female,,,,,,,,,,,,,
[I0636],4C2-****4,Nollaig,,,,,male,,,,,,,,,,,,,
[I0320],4C2-17CNN4,Fionnula,,,,,female,,,,,,,,,,,,,
[I0217],4C2-2C1mE3,Treasa,,,,,female,,,,,,,,,,,,,
[I0506],4C2=1C2r1N5,Caitriona,,,,,female,,,,,,,,,,,,,
[I0589],4C2=2CNN6,Sean,,,,,male,,,,,,,,,,,,,
[I0609],4C3+1C1plE6,Sean,,,,,male,,,,,,,,,,,,,
[I0351],4C3+1C2S6,Aine,,,,,female,,,,,,,,,,,,,
[I0624],4C3+4C1r1E5,Niall,,,,,male,,,,,,,,,,,,,
[I0288],4C3+4C1r1E6,Sile,,,,,female,,,,,,,,,,,,,
[I0648],4C3+7C3E6,Fionnula,,,,,male,,,,,,,,,,,,,
[I0536],4C3-****3,Tomas,,,,,male,,,,,,,,,,,,,
[I0591],4C3-1CNE6,Brian,,,,,male,,,,,,,,,,,,,
[I0626],4C3\4CNN5,Una,,,,,female,,,,,,,,,,,,,
[I0457],4C4+1C2E5,Sile,,,,,female,,,,,,,,,,,,,
[I0590],4C4+2C1mE6,Tomas,,,,,male,,,,,,,,,,,,,
[I0647],4C4+4C1r1E6,Niall,,,,,male,,,,,,,,,,,,,
[I0623],4C4+4C2E5,Brian,,,,,male,,,,,,,,,,,,,
[I0631],4C4^4C1r1E6,Aine,,,,,female,,,,,,,,,,,,,
[I0646],4C5+15C2N6,Tomas,,,,,male,,,,,,,,,,,,,
[I0630],4C5+4C1pE6,Brian,,,,,male,,,,,,,,,,,,,
[I0635],4C5+4C1r1E6,Aine,,,,,female,,,,,,,,,,,,,
[I0637],4C6+4C1r1E5,Brian,,,,,male,,,,,,,,,,,,,
[I0309],5C1+1C1r1E5,Lorna,,,,,female,,,,,,,,,,,,,
[I0333],5C1+2C1mE5,Sean,,,,,male,,,,,,,,,,,,,
[I0307],5C1+2C1mS5,Aine,,,,,female,,,,,,,,,,,,,
[I0266],5C1+2C2S4,Brendan,,,,,male,,,,,,,,,,,,,
[I0267],5C1+2C2S4,Colm,,,,,male,,,,,,,,,,,,,
[I0290],5C1+2C2r1S5,Niall,,,,,male,,,,,,,,,,,,,
[I0291],5C1+2C2r1S5,Sean,,,,,male,,,,,,,,,,,,,
[I0335],5C1+3C1mS5,Roisin,,,,,female,,,,,,,,,,,,,
[I0382],5C1+3C2E6,Staise,,,,,female,,,,,,,,,,,,,
[I0357],5C1+4C1r1N5,Eoghan,,,,,male,,,,,,,,,,,,,
[I0282],5C1+4CNN4,Niall-Iasachta,,,,,male,,,,,,,,,,,,,
[I0343],5C1+5C1pE5,Brid,,,,,female,,,,,,,,,,,,,
[I0310],5C1+5C1pS5,Paidrigin,,,,,female,,,,,,,,,,,,,
[I0356],5C1+6C1mN6,Rionai,,,,,female,,,,,,,,,,,,,
[I0349],5C1+6C1r1E6,Neasa,,,,,female,,,,,,,,,,,,,
[I0331],5C1+6C1xE5,Sinead,,,,,female,,,,,,,,,,,,,
[I0323],5C1+6CNE4,Realtan,,,,,female,,,,,,,,,,,,,
[I0256],5C1-****3,Brian,,,,,male,,,,,,,,,,,,,
[I0325],5C1-****4,Donall,,,,,male,,,,,,,,,,,,,
[I0306],5C1-****4,Tomas,,,,,male,,,,,,,,,,,,,
[I0316],5C1-5C1pS5,Grainne,,,,,female,,,,,,,,,,,,,
[I0561],5C1=1CNN5,Peadar,,,,,male,,,,,,,,,,,,,
[I0308],5C2+2C1mS5,Brian,,,,,male,,,,,,,,,,,,,
[I0336],5C2+2C1xE5,Tomas,,,,,male,,,,,,,,,,,,,
[I0292],5C2+2C2r1S5,Colm,,,,,male,,,,,,,,,,,,,
[I0326],5C2+4C3S5,Realtan,,,,,female,,,,,,,,,,,,,
[I0332],5C2+5C1pE5,Donall,,,,,male,,,,,,,,,,,,,
[I0330],5C2+6C1plE5,Niall,,,,,male,,,,,,,,,,,,,
[I0324],5C2+6CNE4,Aine,,,,,female,,,,,,,,,,,,,
[I0311],5C2-5C1pS5,Brendan,,,,,male,,,,,,,,,,,,,
[I0334],5C3+3C1mS5,Brendan,,,,,male,,,,,,,,,,,,,
[I0327],5C3+4C3S5,Aine,,,,,female,,,,,,,,,,,,,
[I0328],5C3+4C3S5,Colm,,,,,male,,,,,,,,,,,,,
[I0640],5C3+5C1pN6,Donall,,,,,male,,,,,,,,,,,,,
[I0315],5C3+5C1pS5,Brian,,,,,male,,,,,,,,,,,,,
[I0329],5C4+17C3E5,Brian,,,,,male,,,,,,,,,,,,,
[I0639],5C4+5C1pN6,Aine,,,,,female,,,,,,,,,,,,,
[I0364],6C1+1C1mS5,Beibhinn,,,,,female,,,,,,,,,,,,,
[I0268],6C1+2C1mN4,Tomas,,,,,male,,,,,,,,,,,,,
[I0238],6C1+2C1xN5\1C1r1E,Niall,,,,,male,,,,,,,,,,,,,
[I0355],6C1+5C1mN6,Conchur,,,,,male,,,,,,,,,,,,,
[I0341],6C1+5C1plE5,Realtan,,,,,female,,,,,,,,,,,,,
[I0322],6C1+5CNE4,Mairtin,,,,,male,,,,,,,,,,,,,
[I0367],6C1+9C2E5,Sile,,,,,female,,,,,,,,,,,,,
[I0318],6C1-****3,Colm,,,,,male,,,,,,,,,,,,,
[I0017],6C1-****3,Donall,,,,,male,,,,,,,,,,,,,
[I0365],6C1-1C1mS5,Maire,,,,,female,,,,,,,,,,,,,
[I0779],6C1-1CNN4,Eilis,,,,,female,,,,,,,,,,,,,
[I0439],6C1-6CNN4,Caitlin,,,,,female,,,,,,,,,,,,,
[I0354],6C1-6CNN5,Aine,,,,,female,,,,,,,,,,,,,
[I0456],6C1-7CNN3,Treasa,,,,,female,,,,,,,,,,,,,
[I0440],6C2+19CNE5,Caitlin,,,,,female,,,,,,,,,,,,,
[I0366],6C2+2C1r1E5,Aine,,,,,female,,,,,,,,,,,,,
[I0342],6C2+5C1xE5,Colm,,,,,male,,,,,,,,,,,,,
[I0321],6C2+5CNE4,Tomas,,,,,male,,,,,,,,,,,,,
[I0368],6C3+3C2r1E5,Colm,,,,,male,,,,,,,,,,,,,
[I0345],6C3+5C1r1E5,Tomas,,,,,male,,,,,,,,,,,,,
[I0360],6C4-1CNE5,Tomas,,,,,male,,,,,,,,,,,,,
[I0438],6C5-****3,Tomas,,,,,male,,,,,,,,,,,,,
[I0685],7C1+1C1mN4,Colm-Mor,,,,,male,,,,,,,,,,,,,
[I0531],7C1+1C1mN6,Laoise,,,,,female,,,,,,,,,,,,,
[I0616],7C1+1CNN3,Eadaoin,,,,,female,,,,,,,,,,,,,
[I0021],7C1+1CNS3,Caitlin,,,,,female,,,,,,,,,,,,,
[I0041],7C1+1CNS3,Treasa,,,,,female,,,,,,,,,,,,,
[I0272],7C1+2CNN4,Eilis,,,,,female,,,,,,,,,,,,,
[I0505],7C1+7C1r1N5,Sadhbh,,,,,female,,,,,,,,,,,,,
[I0532],7C1+7C1r1N6,Fiontain,,,,,male,,,,,,,,,,,,,
[I0821],7C1+7C1xE4,Proinnsias,,,,,male,,,,,,,,,,,,,
[I0840],7C1+7C2E7,Lara,,,,,female,,,,,,,,,,,,,
[I0776],7C1+7C2N3,Antaine,,,,,male,,,,,,,,,,,,,
[I0758],7C1+7C2S6,Sibeal,,,,,female,,,,,,,,,,,,,
[I0750],7C1+7C2r1N6,Una,,,,,female,,,,,,,,,,,,,
[I0804],7C1+7C3S7,Laoise-Siobhan,,,,,female,,,,,,,,,,,,,
[I0803],7C1+7C3S7,Roisin-Aine,,,,,female,,,,,,,,,,,,,
[I0785],7C1+7CNE5,Eibhlin,,,,,female,,,,,,,,,,,,,
[I0768],7C1-****2,Conchur,,,,,male,,,,,,,,,,,,,
[I0088],7C1-****3,Brian,,,,,male,,,,,,,,,,,,,
[I0093],7C1-****4,Colm,,,,,male,,,,,,,,,,,,,
[I0676],7C1-****4,Seosamh,,,,,male,,,,,,,,,,,,,
[I0503],7C1-****4,Tomas,,,,,male,,,,,,,,,,,,,
[I0746],7C1-****5,Brendan,,,,,male,,,,,,,,,,,,,
[I0788],7C1-****6,Sean-Bui,,,,,male,,,,,,,,,,,,,
[I0667],7C1-00NS2,Niall,,,,,male,,,,,,,,,,,,,
[I0580],7C1-17CNN4,Deirdre,,,,,female,,,,,,,,,,,,,
[I0502],7C1-1CNN5,Sean,,,,,male,,,,,,,,,,,,,
[I0787],7C1-20CNN6,Plur,,,,,female,,,,,,,,,,,,,
[I0723],7C1-28CNN3,Labhras,,,,,male,,,,,,,,,,,,,
[I0104],7C1-2CNE,Cait,,,,,female,,,,,,,,,,,,,
[I0671],7C1-7C1mN2,Aodan,,,,,male,,,,,,,,,,,,,
[I0655],7C1-7CNN1,Aine,,,,,female,,,,,,,,,,,,,
[I0656],7C1-7CNN1,Nora,,,,,female,,,,,,,,,,,,,
[I0767],7C1-7CNN1,Y,,,,,female,,,,,,,,,,,,,
